,RunId,iteration,Step,height,width,density,minority_pc,preference,Number of Happy Agents,Average Utility of Majority Agents,Average Utility of Minority Agents
210,36,1,40,70,60,0.7,0.1,0.25,1819,0.6882890345382187,-0.19351528282545888
211,36,1,60,70,60,0.7,0.1,0.25,1830,0.6852047826994836,-0.19024021138135616
212,36,1,80,70,60,0.7,0.1,0.25,1811,0.6806029908158078,-0.20073104013294826
213,36,1,100,70,60,0.7,0.1,0.25,1789,0.6810328957813455,-0.19703691408070062
214,37,1,0,70,60,0.7,0.1,0.5,0,0.0,0.0
215,37,1,20,70,60,0.7,0.1,0.5,964,0.4287921891232388,-0.25704792190848935
216,37,1,40,70,60,0.7,0.1,0.5,960,0.43350909618032846,-0.2636299040164012
217,37,1,60,70,60,0.7,0.1,0.5,937,0.42741287788580723,-0.26369863013698647
218,37,1,80,70,60,0.7,0.1,0.5,944,0.4309167451861519,-0.262674145000466
219,37,1,100,70,60,0.7,0.1,0.5,987,0.43269853349762044,-0.2674863324325164
220,38,1,0,70,60,0.7,0.1,0.75,0,0.0,0.0
221,38,1,20,70,60,0.7,0.1,0.75,545,0.2238683810662775,-0.16388685040226125
222,38,1,40,70,60,0.7,0.1,0.75,555,0.2275550218819133,-0.18789498105178135
223,38,1,60,70,60,0.7,0.1,0.75,550,0.2262790155382295,-0.17550039993166225
224,38,1,80,70,60,0.7,0.1,0.75,561,0.22718586166074758,-0.17949049482806814
225,38,1,100,70,60,0.7,0.1,0.75,555,0.22527564869174435,-0.16958471173857673
226,39,1,0,70,60,0.7,0.1,1.0,0,0.0,0.0
227,39,1,20,70,60,0.7,0.1,1.0,377,0.04257240186790123,0.05165253315938246
228,39,1,40,70,60,0.7,0.1,1.0,385,0.040571449279864766,0.04175131239710494
229,39,1,60,70,60,0.7,0.1,1.0,386,0.0461052609780601,0.053340788370142556
230,39,1,80,70,60,0.7,0.1,1.0,390,0.047963843071475776,0.03783897120492031
231,39,1,100,70,60,0.7,0.1,1.0,392,0.04381646113544415,0.051837355946944975
232,40,1,0,70,60,0.7,0.2,0.0,0,0.0,0.0
233,40,1,20,70,60,0.7,0.2,0.0,1877,0.851767998866228,0.012613378684807268
234,40,1,40,70,60,0.7,0.2,0.0,1878,0.8728422619047776,0.022661564625850315
235,40,1,60,70,60,0.7,0.2,0.0,1881,0.8823979591836906,0.041454081632653066
236,40,1,80,70,60,0.7,0.2,0.0,1892,0.8911387471655486,0.04396258503401359
237,40,1,100,70,60,0.7,0.2,0.0,1914,0.9015766723356163,0.05024092970521543
238,41,1,0,70,60,0.7,0.2,0.25,0,0.0,0.0
239,41,1,20,70,60,0.7,0.2,0.25,1284,0.5756492701247149,-0.13721728131892041
240,41,1,40,70,60,0.7,0.2,0.25,1273,0.5769784968782043,-0.13186188573602975
241,41,1,60,70,60,0.7,0.2,0.25,1325,0.585971571847917,-0.12755621369552378
242,41,1,80,70,60,0.7,0.2,0.25,1270,0.5736434235509269,-0.14161682081508392
243,41,1,100,70,60,0.7,0.2,0.25,1296,0.5814414114675555,-0.14046677460938722
244,42,1,0,70,60,0.7,0.2,0.5,0,0.0,0.0
245,42,1,20,70,60,0.7,0.2,0.5,716,0.3433114584304052,-0.17947428400583967
246,42,1,40,70,60,0.7,0.2,0.5,738,0.3467831467632713,-0.17025022908706886
247,42,1,60,70,60,0.7,0.2,0.5,734,0.3439779950222101,-0.18324664911626753
248,42,1,80,70,60,0.7,0.2,0.5,749,0.3460462581151191,-0.1756656144192837
249,42,1,100,70,60,0.7,0.2,0.5,732,0.3462686472991017,-0.1748205161059858
250,43,1,0,70,60,0.7,0.2,0.75,0,0.0,0.0
251,43,1,20,70,60,0.7,0.2,0.75,505,0.20380234785124132,-0.11978487171124172
252,43,1,40,70,60,0.7,0.2,0.75,523,0.20451030940344156,-0.1277135654490107
253,43,1,60,70,60,0.7,0.2,0.75,508,0.20332427420168958,-0.12341425154536693
254,43,1,80,70,60,0.7,0.2,0.75,511,0.20342804287811042,-0.11419616648029073
255,43,1,100,70,60,0.7,0.2,0.75,504,0.20545853329916444,-0.12532159553319036
256,44,1,0,70,60,0.7,0.2,1.0,0,0.0,0.0
257,44,1,20,70,60,0.7,0.2,1.0,382,0.04730337340415678,0.04183440499487466
258,44,1,40,70,60,0.7,0.2,1.0,385,0.042572531295623724,0.038228030938402796
259,44,1,60,70,60,0.7,0.2,1.0,390,0.039897454415556616,0.04473177398813412
260,44,1,80,70,60,0.7,0.2,1.0,392,0.04689858820240472,0.032149846239865804
261,44,1,100,70,60,0.7,0.2,1.0,394,0.04103454167055001,0.05458950703569099
262,45,1,0,70,60,0.7,0.30000000000000004,0.0,0,0.0,0.0
263,45,1,20,70,60,0.7,0.30000000000000004,0.0,1359,0.7214447683835521,0.013718820861677977
264,45,1,40,70,60,0.7,0.30000000000000004,0.0,1438,0.7609086491739676,0.07555744520030222
265,45,1,60,70,60,0.7,0.30000000000000004,0.0,1505,0.786005830903804,0.08708427815570666
266,45,1,80,70,60,0.7,0.30000000000000004,0.0,1640,0.8186305474570934,0.18025321239606962
267,45,1,100,70,60,0.7,0.30000000000000004,0.0,1950,0.9021258503401546,0.36581632653061186
268,46,1,0,70,60,0.7,0.30000000000000004,0.25,0,0.0,0.0
269,46,1,20,70,60,0.7,0.30000000000000004,0.25,879,0.4674374919569913,-0.07395823626254155
270,46,1,40,70,60,0.7,0.30000000000000004,0.25,891,0.4741336154487881,-0.06724831485105454
271,46,1,60,70,60,0.7,0.30000000000000004,0.25,919,0.4773410285510158,-0.06338609454436273
272,46,1,80,70,60,0.7,0.30000000000000004,0.25,953,0.4867695145572898,-0.0580953157518715
273,46,1,100,70,60,0.7,0.30000000000000004,0.25,951,0.49008989032664696,-0.05475087104857155
274,47,1,0,70,60,0.7,0.30000000000000004,0.5,0,0.0,0.0
